requirement_id	owner_task	activation_task	test_id	test_target_path	test_symbol	evidence_id	evidence_schema	platform_lane
SEC-015	F57-18	F57-18	T-F57-SEC-015	testkit/tests/f57_workbench_contract.rs	t_f57_sec_015	E-F57-SEC-015	RequirementEvidenceBindingV1	four-platform-client
SEC-016	F57-24	F57-24	T-F57-SEC-016	testkit/tests/f57_windows_recovery_security.rs	t_f57_sec_016	E-F57-SEC-016	RequirementEvidenceBindingV1	windows-authority
SEC-017	F57-24	F57-24	T-F57-SEC-017	testkit/tests/f57_windows_recovery_security.rs	t_f57_sec_017	E-F57-SEC-017	RequirementEvidenceBindingV1	windows-authority
NFR-001	F57-07	F57-24	T-F57-NFR-001	testkit/tests/f57_p340_capacity.rs	t_f57_nfr_001	E-F57-NFR-001	RequirementEvidenceBindingV1	windows-authority
NFR-002	F57-02	F57-02	T-F57-NFR-002	testkit/tests/f57_storage_key_boundary.rs	t_f57_nfr_002	E-F57-NFR-002	RequirementEvidenceBindingV1	windows-authority
NFR-003	F57-07	F57-24	T-F57-NFR-003	testkit/tests/f57_p340_capacity.rs	t_f57_nfr_003	E-F57-NFR-003	RequirementEvidenceBindingV1	windows-authority
NFR-004	F57-24	F57-24	T-F57-NFR-004	testkit/tests/f57_windows_recovery_security.rs	t_f57_nfr_004	E-F57-NFR-004	RequirementEvidenceBindingV1	windows-authority
NFR-005	F57-07	F57-24	T-F57-NFR-005	testkit/tests/f57_p340_capacity.rs	t_f57_nfr_005	E-F57-NFR-005	RequirementEvidenceBindingV1	windows-authority
NFR-006	F57-24	F57-24	T-F57-NFR-006	testkit/tests/f57_windows_recovery_security.rs	t_f57_nfr_006	E-F57-NFR-006	RequirementEvidenceBindingV1	windows-authority
NFR-007	F57-07	F57-24	T-F57-NFR-007	testkit/tests/f57_p340_capacity.rs	t_f57_nfr_007	E-F57-NFR-007	RequirementEvidenceBindingV1	windows-authority
NFR-008	F57-24	F57-24	T-F57-NFR-008	testkit/tests/f57_windows_recovery_security.rs	t_f57_nfr_008	E-F57-NFR-008	RequirementEvidenceBindingV1	windows-authority
NFR-009	F57-24	F57-24	T-F57-NFR-009	testkit/tests/f57_windows_recovery_security.rs	t_f57_nfr_009	E-F57-NFR-009	RequirementEvidenceBindingV1	windows-authority
NFR-010	F57-01	F57-01	T-F57-NFR-010	xtask/src/f57check.rs	t_f57_nfr_010	E-F57-NFR-010	RequirementEvidenceBindingV1	windows-authority
NFR-011	F57-25	F57-25	T-F57-NFR-011	testkit/tests/f57_full_release_evidence.rs	t_f57_nfr_011	E-F57-NFR-011	RequirementEvidenceBindingV1	offline-evidence-aggregate
NFR-012	F57-24	F57-24	T-F57-NFR-012	testkit/tests/f57_windows_recovery_security.rs	t_f57_nfr_012	E-F57-NFR-012	RequirementEvidenceBindingV1	windows-authority
NFR-013	F57-25	F57-25	T-F57-NFR-013	testkit/tests/f57_full_release_evidence.rs	t_f57_nfr_013	E-F57-NFR-013	RequirementEvidenceBindingV1	offline-evidence-aggregate
NFR-014	F57-24	F57-24	T-F57-NFR-014	testkit/tests/f57_windows_recovery_security.rs	t_f57_nfr_014	E-F57-NFR-014	RequirementEvidenceBindingV1	windows-authority
NFR-015	F57-02	F57-02	T-F57-NFR-015	testkit/tests/f57_storage_key_boundary.rs	t_f57_nfr_015	E-F57-NFR-015	RequirementEvidenceBindingV1	windows-authority
NFR-016	F57-24	F57-24	T-F57-NFR-016	testkit/tests/f57_windows_recovery_security.rs	t_f57_nfr_016	E-F57-NFR-016	RequirementEvidenceBindingV1	windows-authority
NFR-017	F57-24	F57-24	T-F57-NFR-017	testkit/tests/f57_windows_recovery_security.rs	t_f57_nfr_017	E-F57-NFR-017	RequirementEvidenceBindingV1	windows-authority
NFR-018	F57-25	F57-25	T-F57-NFR-018	testkit/tests/f57_full_release_evidence.rs	t_f57_nfr_018	E-F57-NFR-018	RequirementEvidenceBindingV1	offline-evidence-aggregate
DEF-001	F57-15	F57-15	T-F57-DEF-001	testkit/tests/f57_ai_optional.rs	t_f57_def_001	E-F57-DEF-001	RequirementEvidenceBindingV1	windows-authority
DEF-002	F57-20	F57-20	T-F57-DEF-002	testkit/tests/f57_procure_inventory_cash.rs	t_f57_def_002	E-F57-DEF-002	RequirementEvidenceBindingV1	windows-authority
DEF-003	F57-20	F57-20	T-F57-DEF-003	testkit/tests/f57_procure_inventory_cash.rs	t_f57_def_003	E-F57-DEF-003	RequirementEvidenceBindingV1	windows-authority
DEF-004	F57-23	F57-23	T-F57-DEF-004	testkit/tests/f57_platform_connectors_lifecycle.rs	t_f57_def_004	E-F57-DEF-004	RequirementEvidenceBindingV1	windows-authority
DEF-005	F57-21	F57-21	T-F57-DEF-005	testkit/tests/f57_service_project_reporting.rs	t_f57_def_005	E-F57-DEF-005	RequirementEvidenceBindingV1	windows-authority
DEF-006	F57-24	F57-24	T-F57-DEF-006	testkit/tests/f57_windows_recovery_security.rs	t_f57_def_006	E-F57-DEF-006	RequirementEvidenceBindingV1	windows-authority
DEF-007	F57-24	F57-24	T-F57-DEF-007	testkit/tests/f57_windows_recovery_security.rs	t_f57_def_007	E-F57-DEF-007	RequirementEvidenceBindingV1	windows-authority
DEF-008	F57-14	F57-14	T-F57-DEF-008	testkit/tests/f57_provider_containment.rs	t_f57_def_008	E-F57-DEF-008	RequirementEvidenceBindingV1	windows-authority
DEF-009	F57-20	F57-20	T-F57-DEF-009	testkit/tests/f57_procure_inventory_cash.rs	t_f57_def_009	E-F57-DEF-009	RequirementEvidenceBindingV1	windows-authority
DEF-010	F57-24	F57-24	T-F57-DEF-010	testkit/tests/f57_windows_recovery_security.rs	t_f57_def_010	E-F57-DEF-010	RequirementEvidenceBindingV1	windows-authority
DEF-011	F57-23	F57-23	T-F57-DEF-011	testkit/tests/f57_platform_connectors_lifecycle.rs	t_f57_def_011	E-F57-DEF-011	RequirementEvidenceBindingV1	windows-authority
