surface	variant_kind	wire_literal	owner_task	introduced_version	payload_schema	result_schema	error_schema	subject_cas_mode	audience	operation_error_code
EMPLOYEE	COMMAND	mdm.master_record.change	F57-19	1.1.0-f57	MasterRecordChangeRequestV1	MasterRecordAcceptedV1	EmployeeMdmMasterRecordChangeErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	mdm.master_record.create	F57-19	1.1.0-f57	MasterRecordCreateRequestV1	MasterRecordAcceptedV1	EmployeeMdmMasterRecordCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	mdm.master_record.deactivate	F57-19	1.1.0-f57	MasterRecordDeactivateRequestV1	MasterRecordAcceptedV1	EmployeeMdmMasterRecordDeactivateErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	mdm.master_record.decide	F57-19	1.1.0-f57	MasterRecordDecisionRequestV1	MasterRecordAcceptedV1	EmployeeMdmMasterRecordDecideErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	mdm.master_record.submit	F57-19	1.1.0-f57	MasterRecordSubmitRequestV1	MasterRecordAcceptedV1	EmployeeMdmMasterRecordSubmitErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	opportunity.advance_to_commercial	F57-19	1.1.0-f57	OpportunityAdvanceToCommercialRequestV1	OpportunityAcceptedV1	EmployeeOpportunityAdvanceToCommercialErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	opportunity.advance_to_solution	F57-19	1.1.0-f57	OpportunityAdvanceToSolutionRequestV1	OpportunityAcceptedV1	EmployeeOpportunityAdvanceToSolutionErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	opportunity.cancel	F57-19	1.1.0-f57	OpportunityCancelRequestV1	OpportunityAcceptedV1	EmployeeOpportunityCancelErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	opportunity.change	F57-19	1.1.0-f57	OpportunityChangeRequestV1	OpportunityAcceptedV1	EmployeeOpportunityChangeErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	opportunity.close_lost	F57-19	1.1.0-f57	OpportunityCloseLostRequestV1	OpportunityAcceptedV1	EmployeeOpportunityCloseLostErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	opportunity.create	F57-19	1.1.0-f57	OpportunityCreateRequestV1	OpportunityAcceptedV1	EmployeeOpportunityCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	opportunity.qualify	F57-19	1.1.0-f57	OpportunityQualifyRequestV1	OpportunityAcceptedV1	EmployeeOpportunityQualifyErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	opportunity.reopen	F57-19	1.1.0-f57	OpportunityReopenRequestV1	OpportunityAcceptedV1	EmployeeOpportunityReopenErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	opportunity.return_to_qualifying	F57-19	1.1.0-f57	OpportunityReturnToQualifyingRequestV1	OpportunityAcceptedV1	EmployeeOpportunityReturnToQualifyingErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	opportunity.return_to_solution	F57-19	1.1.0-f57	OpportunityReturnToSolutionRequestV1	OpportunityAcceptedV1	EmployeeOpportunityReturnToSolutionErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	quote.create	F57-19	1.1.0-f57	QuoteCreateRequestV1	QuoteAcceptedV1	EmployeeQuoteCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	quote_version.accept	F57-19	1.1.0-f57	QuoteVersionAcceptRequestV1	QuoteVersionAcceptedV1	EmployeeQuoteVersionAcceptErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	quote_version.change_draft	F57-19	1.1.0-f57	QuoteVersionChangeDraftRequestV1	QuoteVersionAcceptedV1	EmployeeQuoteVersionChangeDraftErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	quote_version.convert_to_contract	F57-19	1.1.0-f57	QuoteVersionConvertToContractRequestV1	ContractAcceptedV1	EmployeeQuoteVersionConvertToContractErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	quote_version.convert_to_order	F57-19	1.1.0-f57	QuoteVersionConvertToOrderRequestV1	SalesOrderAcceptedV1	EmployeeQuoteVersionConvertToOrderErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	quote_version.create	F57-19	1.1.0-f57	QuoteVersionCreateRequestV1	QuoteVersionAcceptedV1	EmployeeQuoteVersionCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	quote_version.decide	F57-19	1.1.0-f57	QuoteVersionDecideRequestV1	QuoteVersionAcceptedV1	EmployeeQuoteVersionDecideErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	quote_version.issue	F57-19	1.1.0-f57	QuoteVersionIssueRequestV1	QuoteVersionAcceptedV1	EmployeeQuoteVersionIssueErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	quote_version.reconcile_issue	F57-19	1.1.0-f57	QuoteVersionReconcileIssueRequestV1	QuoteVersionAcceptedV1	EmployeeQuoteVersionReconcileIssueErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	quote_version.reconcile_withdrawal	F57-19	1.1.0-f57	QuoteVersionReconcileWithdrawalRequestV1	QuoteVersionAcceptedV1	EmployeeQuoteVersionReconcileWithdrawalErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	quote_version.reject	F57-19	1.1.0-f57	QuoteVersionRejectRequestV1	QuoteVersionAcceptedV1	EmployeeQuoteVersionRejectErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	quote_version.submit	F57-19	1.1.0-f57	QuoteVersionSubmitRequestV1	QuoteVersionAcceptedV1	EmployeeQuoteVersionSubmitErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	quote_version.withdraw	F57-19	1.1.0-f57	QuoteVersionWithdrawRequestV1	QuoteVersionAcceptedV1	EmployeeQuoteVersionWithdrawErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	sales_order.approve	F57-19	1.1.0-f57	SalesOrderApproveRequestV1	SalesOrderAcceptedV1	EmployeeSalesOrderApproveErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	sales_order.cancel	F57-19	1.1.0-f57	SalesOrderCancelRequestV1	SalesOrderAcceptedV1	EmployeeSalesOrderCancelErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	sales_order.change	F57-19	1.1.0-f57	SalesOrderChangeRequestV1	SalesOrderAcceptedV1	EmployeeSalesOrderChangeErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	sales_order.close	F57-19	1.1.0-f57	SalesOrderCloseRequestV1	SalesOrderAcceptedV1	EmployeeSalesOrderCloseErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	sales_order.create_from_manual_authority	F57-19	1.1.0-f57	SalesOrderCreateFromManualAuthorityRequestV1	SalesOrderAcceptedV1	EmployeeSalesOrderCreateFromManualAuthorityErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	sales_order.release	F57-19	1.1.0-f57	SalesOrderReleaseRequestV1	SalesOrderAcceptedV1	EmployeeSalesOrderReleaseErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	sales_order.submit	F57-19	1.1.0-f57	SalesOrderSubmitRequestV1	SalesOrderAcceptedV1	EmployeeSalesOrderSubmitErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	contract.fulfilment.get	F57-19	1.1.0-f57	ContractFulfilmentGetQueryV1	ContractFulfilmentViewV1	EmployeeContractFulfilmentGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	contract.get	F57-19	1.1.0-f57	ContractGetQueryV1	ContractViewV1	EmployeeContractGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	contract.list	F57-19	1.1.0-f57	ContractListQueryV1	ContractPageV1	EmployeeContractListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	contract.payment_schedule.get	F57-19	1.1.0-f57	ContractPaymentScheduleGetQueryV1	ContractPaymentScheduleViewV1	EmployeeContractPaymentScheduleGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	contract_version.list	F57-19	1.1.0-f57	ContractVersionListQueryV1	ContractVersionPageV1	EmployeeContractVersionListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	credit_exposure.get	F57-19	1.1.0-f57	CreditExposureGetQueryV1	CreditExposureViewV1	EmployeeCreditExposureGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	customer_360.get	F57-19	1.1.0-f57	Customer360GetQueryV1	Customer360ViewV1	EmployeeCustomer360GetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	delivery_schedule.list	F57-19	1.1.0-f57	DeliveryScheduleListQueryV1	DeliverySchedulePageV1	EmployeeDeliveryScheduleListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	mdm.duplicate_candidate.list	F57-19	1.1.0-f57	DuplicateCandidateListQueryV1	DuplicateCandidatePageV1	EmployeeMdmDuplicateCandidateListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	mdm.master_record.get	F57-19	1.1.0-f57	MasterRecordGetQueryV1	MasterRecordViewV1	EmployeeMdmMasterRecordGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	mdm.master_record.history	F57-19	1.1.0-f57	MasterRecordHistoryQueryV1	MasterRecordHistoryPageV1	EmployeeMdmMasterRecordHistoryErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	mdm.master_record.list	F57-19	1.1.0-f57	MasterRecordListQueryV1	MasterRecordPageV1	EmployeeMdmMasterRecordListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	opportunity.get	F57-19	1.1.0-f57	OpportunityGetQueryV1	OpportunityViewV1	EmployeeOpportunityGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	opportunity.list	F57-19	1.1.0-f57	OpportunityListQueryV1	OpportunityPageV1	EmployeeOpportunityListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	opportunity.timeline	F57-19	1.1.0-f57	OpportunityTimelineQueryV1	OpportunityTimelineViewV1	EmployeeOpportunityTimelineErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	quote.get	F57-19	1.1.0-f57	QuoteGetQueryV1	QuoteViewV1	EmployeeQuoteGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	quote.list	F57-19	1.1.0-f57	QuoteListQueryV1	QuotePageV1	EmployeeQuoteListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	quote_version.get	F57-19	1.1.0-f57	QuoteVersionGetQueryV1	QuoteVersionViewV1	EmployeeQuoteVersionGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	quote_version.list	F57-19	1.1.0-f57	QuoteVersionListQueryV1	QuoteVersionPageV1	EmployeeQuoteVersionListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	sales_order.get	F57-19	1.1.0-f57	SalesOrderGetQueryV1	SalesOrderViewV1	EmployeeSalesOrderGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	sales_order.list	F57-19	1.1.0-f57	SalesOrderListQueryV1	SalesOrderPageV1	EmployeeSalesOrderListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	sales_order.version.list	F57-19	1.1.0-f57	SalesOrderVersionListQueryV1	SalesOrderVersionPageV1	EmployeeSalesOrderVersionListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	advance.allocate	F57-20	1.2.0-f57	AdvanceAllocateRequestV1	AllocationAcceptedV1	EmployeeAdvanceAllocateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	allocation.reverse	F57-20	1.2.0-f57	AllocationReverseRequestV1	AllocationAcceptedV1	EmployeeAllocationReverseErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	award.decide	F57-20	1.2.0-f57	AwardDecideRequestV1	AwardAcceptedV1	EmployeeAwardDecideErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	award.propose	F57-20	1.2.0-f57	AwardProposeRequestV1	AwardAcceptedV1	EmployeeAwardProposeErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	award.revoke	F57-20	1.2.0-f57	AwardRevokeRequestV1	AwardAcceptedV1	EmployeeAwardRevokeErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	billing_request.cancel	F57-20	1.2.0-f57	BillingRequestCancelRequestV1	BillingRequestAcceptedV1	EmployeeBillingRequestCancelErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	billing_request.change_draft	F57-20	1.2.0-f57	BillingRequestChangeDraftRequestV1	BillingRequestAcceptedV1	EmployeeBillingRequestChangeDraftErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	billing_request.create	F57-20	1.2.0-f57	BillingRequestCreateRequestV1	BillingRequestAcceptedV1	EmployeeBillingRequestCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	billing_request.decide	F57-20	1.2.0-f57	BillingRequestDecideRequestV1	BillingRequestAcceptedV1	EmployeeBillingRequestDecideErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	billing_request.submit	F57-20	1.2.0-f57	BillingRequestSubmitRequestV1	BillingRequestAcceptedV1	EmployeeBillingRequestSubmitErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	cash_account.change	F57-20	1.2.0-f57	CashAccountChangeRequestV1	CashAccountAcceptedV1	EmployeeCashAccountChangeErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	cash_account.create	F57-20	1.2.0-f57	CashAccountCreateRequestV1	CashAccountAcceptedV1	EmployeeCashAccountCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	cash_account.deactivate	F57-20	1.2.0-f57	CashAccountDeactivateRequestV1	CashAccountAcceptedV1	EmployeeCashAccountDeactivateErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	credit_note.create	F57-20	1.2.0-f57	CreditNoteCreateRequestV1	InvoiceAcceptedV1	EmployeeCreditNoteCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	credit_note.post	F57-20	1.2.0-f57	CreditNotePostRequestV1	InvoiceAcceptedV1	EmployeeCreditNotePostErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	delivery_confirmation.create	F57-20	1.2.0-f57	DeliveryConfirmationCreateRequestV1	DeliveryConfirmationAcceptedV1	EmployeeDeliveryConfirmationCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	goods_receipt.change_draft	F57-20	1.2.0-f57	GoodsReceiptChangeDraftRequestV1	GoodsReceiptAcceptedV1	EmployeeGoodsReceiptChangeDraftErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	goods_receipt.create	F57-20	1.2.0-f57	GoodsReceiptCreateRequestV1	GoodsReceiptAcceptedV1	EmployeeGoodsReceiptCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	goods_receipt.post	F57-20	1.2.0-f57	GoodsReceiptPostRequestV1	GoodsReceiptAcceptedV1	EmployeeGoodsReceiptPostErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	invoice.void	F57-20	1.2.0-f57	InvoiceVoidRequestV1	InvoiceAcceptedV1	EmployeeInvoiceVoidErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	ledger_correction.create	F57-20	1.2.0-f57	LedgerCorrectionCreateRequestV1	OperatingLedgerAcceptedV1	EmployeeLedgerCorrectionCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	ledger_correction.decide	F57-20	1.2.0-f57	LedgerCorrectionDecideRequestV1	OperatingLedgerAcceptedV1	EmployeeLedgerCorrectionDecideErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	ledger_correction.post	F57-20	1.2.0-f57	LedgerCorrectionPostRequestV1	OperatingLedgerAcceptedV1	EmployeeLedgerCorrectionPostErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	operating_account_mapping.publish	F57-20	1.2.0-f57	OperatingAccountMappingPublishRequestV1	OperatingLedgerAcceptedV1	EmployeeOperatingAccountMappingPublishErrorsV1	UPSERT_EXPLICIT	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	operating_period.lock	F57-20	1.2.0-f57	OperatingPeriodLockRequestV1	OperatingLedgerAcceptedV1	EmployeeOperatingPeriodLockErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	payment.allocate	F57-20	1.2.0-f57	PaymentAllocateRequestV1	PaymentAcceptedV1	EmployeePaymentAllocateErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	payment.create	F57-20	1.2.0-f57	PaymentCreateRequestV1	PaymentAcceptedV1	EmployeePaymentCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	payment.post	F57-20	1.2.0-f57	PaymentPostRequestV1	PaymentAcceptedV1	EmployeePaymentPostErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	payment.reverse	F57-20	1.2.0-f57	PaymentReverseRequestV1	PaymentAcceptedV1	EmployeePaymentReverseErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	payment_request.change_draft	F57-20	1.2.0-f57	PaymentRequestChangeDraftRequestV1	PaymentRequestAcceptedV1	EmployeePaymentRequestChangeDraftErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	payment_request.close	F57-20	1.2.0-f57	PaymentRequestCloseRequestV1	PaymentRequestAcceptedV1	EmployeePaymentRequestCloseErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	payment_request.create	F57-20	1.2.0-f57	PaymentRequestCreateRequestV1	PaymentRequestAcceptedV1	EmployeePaymentRequestCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	payment_request.submit	F57-20	1.2.0-f57	PaymentRequestSubmitRequestV1	PaymentRequestAcceptedV1	EmployeePaymentRequestSubmitErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	payment_request.void	F57-20	1.2.0-f57	PaymentRequestVoidRequestV1	PaymentRequestAcceptedV1	EmployeePaymentRequestVoidErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	payment_request.withdraw	F57-20	1.2.0-f57	PaymentRequestWithdrawRequestV1	PaymentRequestAcceptedV1	EmployeePaymentRequestWithdrawErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	procurement_demand.admit	F57-20	1.2.0-f57	ProcurementDemandAdmitRequestV1	ProcurementDemandAcceptedV1	EmployeeProcurementDemandAdmitErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	procurement_demand.cancel	F57-20	1.2.0-f57	ProcurementDemandCancelRequestV1	ProcurementDemandAcceptedV1	EmployeeProcurementDemandCancelErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	procurement_demand.change	F57-20	1.2.0-f57	ProcurementDemandChangeRequestV1	ProcurementDemandAcceptedV1	EmployeeProcurementDemandChangeErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	procurement_demand.close	F57-20	1.2.0-f57	ProcurementDemandCloseRequestV1	ProcurementDemandAcceptedV1	EmployeeProcurementDemandCloseErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	procurement_demand.create	F57-20	1.2.0-f57	ProcurementDemandCreateRequestV1	ProcurementDemandAcceptedV1	EmployeeProcurementDemandCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	procurement_demand.merge	F57-20	1.2.0-f57	ProcurementDemandMergeRequestV1	ProcurementDemandAcceptedV1	EmployeeProcurementDemandMergeErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	procurement_demand.reopen	F57-20	1.2.0-f57	ProcurementDemandReopenRequestV1	ProcurementDemandAcceptedV1	EmployeeProcurementDemandReopenErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	procurement_demand.split	F57-20	1.2.0-f57	ProcurementDemandSplitRequestV1	ProcurementDemandAcceptedV1	EmployeeProcurementDemandSplitErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	procurement_demand.start_sourcing	F57-20	1.2.0-f57	ProcurementDemandStartSourcingRequestV1	ProcurementDemandAcceptedV1	EmployeeProcurementDemandStartSourcingErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	purchase_invoice.create	F57-20	1.2.0-f57	PurchaseInvoiceCreateRequestV1	InvoiceAcceptedV1	EmployeePurchaseInvoiceCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	purchase_invoice.post	F57-20	1.2.0-f57	PurchaseInvoicePostRequestV1	InvoiceAcceptedV1	EmployeePurchaseInvoicePostErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	purchase_order.accept_reschedule	F57-20	1.2.0-f57	PurchaseOrderAcceptRescheduleRequestV1	PurchaseOrderAcceptedV1	EmployeePurchaseOrderAcceptRescheduleErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	purchase_order.change_draft	F57-20	1.2.0-f57	PurchaseOrderChangeDraftRequestV1	PurchaseOrderAcceptedV1	EmployeePurchaseOrderChangeDraftErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	purchase_order.close	F57-20	1.2.0-f57	PurchaseOrderCloseRequestV1	PurchaseOrderAcceptedV1	EmployeePurchaseOrderCloseErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	purchase_order.create	F57-20	1.2.0-f57	PurchaseOrderCreateRequestV1	PurchaseOrderAcceptedV1	EmployeePurchaseOrderCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	purchase_order.decide	F57-20	1.2.0-f57	PurchaseOrderDecideRequestV1	PurchaseOrderAcceptedV1	EmployeePurchaseOrderDecideErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	purchase_order.issue	F57-20	1.2.0-f57	PurchaseOrderIssueRequestV1	PurchaseOrderAcceptedV1	EmployeePurchaseOrderIssueErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	purchase_order.reject_reschedule	F57-20	1.2.0-f57	PurchaseOrderRejectRescheduleRequestV1	PurchaseOrderAcceptedV1	EmployeePurchaseOrderRejectRescheduleErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	purchase_order.revise	F57-20	1.2.0-f57	PurchaseOrderReviseRequestV1	PurchaseOrderAcceptedV1	EmployeePurchaseOrderReviseErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	purchase_order.submit	F57-20	1.2.0-f57	PurchaseOrderSubmitRequestV1	PurchaseOrderAcceptedV1	EmployeePurchaseOrderSubmitErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	purchase_order.void	F57-20	1.2.0-f57	PurchaseOrderVoidRequestV1	PurchaseOrderAcceptedV1	EmployeePurchaseOrderVoidErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
