surface	method	path	operation_id	owner_task	security_profile	route_shape_profile	request_schema	result_schema	error_schema	error_code_set
PORTAL	POST	/portal/v1/devices/register	registerPortalDevice	F57-22	PORTAL_SESSION_BINDING_CSRF	PORTAL_DEVICE_REGISTER_V1	PortalDeviceRegisterRequestV1	PortalDeviceChangedV1	PortalDeviceRegisterErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.AUTHZ.REAUTH_REQUIRED|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.IDEMPOTENCY.IN_PROGRESS|PLATFORM.IDEMPOTENCY.PAYLOAD_MISMATCH|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
PORTAL	POST	/portal/v1/devices/revoke	revokePortalDevice	F57-22	PORTAL_SESSION_BINDING_CSRF	PORTAL_DEVICE_REVOKE_V1	PortalDeviceRevokeRequestV1	PortalDeviceChangedV1	PortalDeviceRevokeErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.AUTHZ.REAUTH_REQUIRED|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.IDEMPOTENCY.IN_PROGRESS|PLATFORM.IDEMPOTENCY.PAYLOAD_MISMATCH|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
PORTAL	POST	/portal/v1/files/upload-sessions	createPortalFileUploadSession	F57-22	PORTAL_SESSION_BINDING_CSRF	FILE_UPLOAD_CREATE_V1	CreateUploadSessionRequestV1	UploadSessionCreatedV1	PortalFileUploadCreateErrorsV1	PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CAPACITY.DISK_WATERMARK_EXCEEDED|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.HEADER_MISSING|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY|PLATFORM.UPLOAD_SESSION.PART_HASH_MISMATCH
PORTAL	GET	/portal/v1/files/upload-sessions/{upload_id}	getPortalFileUploadSession	F57-22	PORTAL_SESSION_BINDING_READ	FILE_UPLOAD_STATUS_V1	NONE	UploadSessionStatusV1	PortalFileUploadStatusErrorsV1	PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CAPACITY.DISK_WATERMARK_EXCEEDED|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.HEADER_MISSING|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY|PLATFORM.UPLOAD_SESSION.PART_HASH_MISMATCH
PORTAL	PUT	/portal/v1/files/upload-sessions/{upload_id}/chunks/{chunk_no}	putPortalFileUploadChunk	F57-22	PORTAL_SESSION_BINDING_CSRF	FILE_UPLOAD_CHUNK_V1	RawUploadChunkV1	UploadChunkAcceptedV1	PortalFileUploadChunkErrorsV1	PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CAPACITY.DISK_WATERMARK_EXCEEDED|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.HEADER_MISSING|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY|PLATFORM.UPLOAD_SESSION.PART_HASH_MISMATCH
PORTAL	POST	/portal/v1/files/upload-sessions/{upload_id}/complete	completePortalFileUploadSession	F57-22	PORTAL_SESSION_BINDING_CSRF	FILE_UPLOAD_COMPLETE_V1	CompleteUploadSessionRequestV1	FileIngressAcceptedV1	PortalFileUploadCompleteErrorsV1	PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CAPACITY.DISK_WATERMARK_EXCEEDED|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.HEADER_MISSING|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY|PLATFORM.UPLOAD_SESSION.PART_HASH_MISMATCH
PORTAL	GET	/portal/v1/files/{object_id}/versions/{version_id}	getPortalFileVersion	F57-22	PORTAL_SESSION_BINDING_READ	FILE_VERSION_GET_V1	NONE	PublishedFileVersionV1	PortalFileVersionGetErrorsV1	PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CAPACITY.DISK_WATERMARK_EXCEEDED|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.HEADER_MISSING|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY|PLATFORM.UPLOAD_SESSION.PART_HASH_MISMATCH
PORTAL	POST	/portal/v1/invitations/{invite_id}/accept	acceptPortalInvitation	F57-22	PORTAL_BOOTSTRAP_INVITE	PORTAL_INVITATION_ACCEPT_V1	AcceptPortalInvitationRequestV1	PortalCredentialActivationReceiptV1	PortalInvitationAcceptErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.ACCOUNT_LOCKED|PLATFORM.AUTHN.CREDENTIAL_INVALID|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHN.MFA_INVALID|PLATFORM.AUTHN.MFA_REQUIRED|PLATFORM.AUTHN.RATE_LIMITED|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.IDEMPOTENCY.IN_PROGRESS|PLATFORM.IDEMPOTENCY.PAYLOAD_MISMATCH|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
PORTAL	POST	/portal/v1/queries	executePortalQuery	F57-22	PORTAL_DISCRIMINATOR_AUDIENCE	PORTAL_QUERY_V1	PortalQueryV1	PortalQuerySubmissionResultV1	PortalQueryErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
PORTAL	POST	/portal/v1/recovery/complete	completePortalRecovery	F57-22	PORTAL_BOOTSTRAP_BINDING	PORTAL_RECOVERY_COMPLETE_V1	PortalRecoveryCompleteRequestV1	PortalRecoveryCompletedV1	PortalRecoveryCompleteErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.ACCOUNT_LOCKED|PLATFORM.AUTHN.CREDENTIAL_INVALID|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHN.MFA_INVALID|PLATFORM.AUTHN.MFA_REQUIRED|PLATFORM.AUTHN.RATE_LIMITED|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.IDEMPOTENCY.IN_PROGRESS|PLATFORM.IDEMPOTENCY.PAYLOAD_MISMATCH|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
PORTAL	POST	/portal/v1/recovery/prove	provePortalRecovery	F57-22	PORTAL_BOOTSTRAP_BINDING	PORTAL_RECOVERY_PROVE_V1	PortalRecoveryProveRequestV1	PortalRecoveryProofAcceptedV1	PortalRecoveryProveErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.ACCOUNT_LOCKED|PLATFORM.AUTHN.CREDENTIAL_INVALID|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHN.MFA_INVALID|PLATFORM.AUTHN.MFA_REQUIRED|PLATFORM.AUTHN.RATE_LIMITED|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.IDEMPOTENCY.IN_PROGRESS|PLATFORM.IDEMPOTENCY.PAYLOAD_MISMATCH|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
PORTAL	POST	/portal/v1/recovery/start	startPortalRecovery	F57-22	PORTAL_BOOTSTRAP_BINDING	PORTAL_RECOVERY_START_V1	PortalRecoveryStartRequestV1	PortalRecoveryChallengeV1	PortalRecoveryStartErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.ACCOUNT_LOCKED|PLATFORM.AUTHN.CREDENTIAL_INVALID|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHN.MFA_INVALID|PLATFORM.AUTHN.MFA_REQUIRED|PLATFORM.AUTHN.RATE_LIMITED|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.IDEMPOTENCY.IN_PROGRESS|PLATFORM.IDEMPOTENCY.PAYLOAD_MISMATCH|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
PORTAL	POST	/portal/v1/sessions/end	endPortalSession	F57-22	PORTAL_SESSION_BINDING_CSRF	PORTAL_SESSION_END_V1	PortalSessionEndRequestV1	PortalSessionEndedV1	PortalSessionEndErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.AUTHZ.REAUTH_REQUIRED|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.IDEMPOTENCY.IN_PROGRESS|PLATFORM.IDEMPOTENCY.PAYLOAD_MISMATCH|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
PORTAL	POST	/portal/v1/sessions/renew	renewPortalSession	F57-22	PORTAL_SESSION_BINDING_CSRF	PORTAL_SESSION_RENEW_V1	PortalSessionRenewRequestV1	PortalSessionRenewedV1	PortalSessionRenewErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.AUTHZ.REAUTH_REQUIRED|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.IDEMPOTENCY.IN_PROGRESS|PLATFORM.IDEMPOTENCY.PAYLOAD_MISMATCH|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
PORTAL	POST	/portal/v1/sessions/start	startPortalSession	F57-22	PORTAL_BOOTSTRAP_BINDING	PORTAL_SESSION_START_V1	PortalSessionStartRequestV1	PortalSessionStartedV1	PortalSessionStartErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.ACCOUNT_LOCKED|PLATFORM.AUTHN.CREDENTIAL_INVALID|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHN.MFA_INVALID|PLATFORM.AUTHN.MFA_REQUIRED|PLATFORM.AUTHN.RATE_LIMITED|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.IDEMPOTENCY.IN_PROGRESS|PLATFORM.IDEMPOTENCY.PAYLOAD_MISMATCH|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
